Value,Address,Address2,Date,Time,Date2,Time2,Case,Original_URL,Source,Atty,Atty_Contact,Address3,City,StateZip,State,Postal,County,Extra2
,203 N Buckingham Drive,"Slidell, LA 70461, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/203-n-buckingham-dr-slidell-la-1748085,Auction.com,ALAW,(504) 438-1251,"Slidell, LA 70461, St. Tammany County",Slidell,LA 70461,LA,70461, St. Tammany County,
,1128 Clairise Ct,"Slidell, LA 70461, Saint Tammany County",2025-07-16,,,,100345,https://www.auction.com/details/1128-clairise-ct-slidell-la-1748649,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Slidell, LA 70461, Saint Tammany County",Slidell,LA 70461,LA,70461, Saint Tammany County,
,1161 Rose Meadow Loop,"Slidell, LA 70460, St Tammany County",2025-07-16,,,,,https://www.auction.com/details/1161-rose-meadow-loop-slidell-la-1751254,Auction.com,"Jackson and McPherson, LLC",,"Slidell, LA 70460, St Tammany County",Slidell,LA 70460,LA,70460, St Tammany County,
,1210 Montgomery Blvd,"Slidell, LA 70461, St. Tammany County",2025-07-16,,,,202510709 A,https://www.auction.com/details/1210-montgomery-blvd-slidell-la-1752684,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Slidell, LA 70461, St. Tammany County",Slidell,LA 70461,LA,70461, St. Tammany County,
,9484 Redwood Lake Blvd,"Zachary, LA 70791, East Baton Rouge County",2025-07-16,,,,,https://www.auction.com/details/9484-redwood-lake-blvd-zachary-la-1754518,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"Zachary, LA 70791, East Baton Rouge County",Zachary,LA 70791,LA,70791, East Baton Rouge County,
,2718 Main St,"Jeanerette, LA 70544, Iberia County",2025-07-16,,,,,https://www.auction.com/details/2718-main-st-jeanerette-la-1755145,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Jeanerette, LA 70544, Iberia County",Jeanerette,LA 70544,LA,70544, Iberia County,
,3312 Chelsea Ct,"Slidell, LA 70460, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/3312-chelsea-ct-slidell-la-1755766,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Slidell, LA 70460, St. Tammany County",Slidell,LA 70460,LA,70460, St. Tammany County,
,316 W Honors Point Ct,"Slidell, LA 70458, St Tammany County",2025-07-16,,,,,https://www.auction.com/details/316-w-honors-point-ct-slidell-la-1756149,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Slidell, LA 70458, St Tammany County",Slidell,LA 70458,LA,70458, St Tammany County,
,1401 Greenwood Dr,"Ruston, LA 71270, Lincoln County",2025-07-16,,,,2467,https://www.auction.com/details/1401-greenwood-dr-ruston-la-1757850,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Ruston, LA 71270, Lincoln County",Ruston,LA 71270,LA,71270, Lincoln County,
,1207 Field Street,"New Iberia, LA 70560, Iberia County",2025-07-16,,,,,https://www.auction.com/details/1207-field-st-new-iberia-la-1757985,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"New Iberia, LA 70560, Iberia County",New Iberia,LA 70560,LA,70560, Iberia County,
,75633 Sylvia Dr,"Covington, LA 70435, St. Tammany County",2025-07-16,,,,202415799 J,https://www.auction.com/details/75633-sylvia-dr-covington-la-1758661,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Covington, LA 70435, St. Tammany County",Covington,LA 70435,LA,70435, St. Tammany County,
,116 Palm Springs Drive,"Slidell, LA 70458, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/116-palm-springs-dr-slidell-la-1759234,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Slidell, LA 70458, St. Tammany County",Slidell,LA 70458,LA,70458, St. Tammany County,
,4305 North Sherwood Forest Drive,"Baton Rouge, LA 70814, East Baton Rouge County",2025-07-16,,,,24-032809-FC0...,https://www.auction.com/details/4305-n-sherwood-forest-dr-baton-rouge-la-1759745,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"Baton Rouge, LA 70814, East Baton Rouge County",Baton Rouge,LA 70814,LA,70814, East Baton Rouge County,
,1743 Acadian Drive,"Houma, LA 70363, Terrebonne County",2025-07-16,,,,,https://www.auction.com/details/1743-acadian-dr-houma-la-1759842,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Houma, LA 70363, Terrebonne County",Houma,LA 70363,LA,70363, Terrebonne County,
,2413 Northside Drive,"Bossier City, LA 71111, Bossier Parish County",2025-07-16,,,,,https://www.auction.com/details/2413-northside-dr-bossier-city-la-1760107,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Bossier City, LA 71111, Bossier Parish County",Bossier City,LA 71111,LA,71111, Bossier Parish County,
,11088 Mollylea Dr,"Baton Rouge, LA 70815, East Baton Rouge Parish County",2025-07-16,,,,,https://www.auction.com/details/11088-mollylea-dr-baton-rouge-la-1760151,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Baton Rouge, LA 70815, East Baton Rouge Parish County",Baton Rouge,LA 70815,LA,70815, East Baton Rouge Parish County,
,305 Goldenwood St,"Mandeville, LA 70448, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/305-goldenwood-st-mandeville-la-1761474,Auction.com,ALAW,(504) 438-1251,"Mandeville, LA 70448, St. Tammany County",Mandeville,LA 70448,LA,70448, St. Tammany County,
,3143 Carey Street,"Slidell, LA 70458, St. Tammany Parish County",2025-07-16,,,,,https://www.auction.com/details/3143-carey-st-slidell-la-1764610,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Slidell, LA 70458, St. Tammany Parish County",Slidell,LA 70458,LA,70458, St. Tammany Parish County,
,592 S Caleb Drive,"Slidell, LA 70461, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/592-s-caleb-dr-slidell-la-1765717,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Slidell, LA 70461, St. Tammany County",Slidell,LA 70461,LA,70461, St. Tammany County,
,519 Pine St,"Norco, LA 70079, St. Charles County",2025-07-16,,,,,https://www.auction.com/details/519-pine-st-norco-la-1765782,Auction.com,ALAW,(504) 438-1251,"Norco, LA 70079, St. Charles County",Norco,LA 70079,LA,70079, St. Charles County,
,29169 Hwy 190,"Lacombe, LA 70445, St Tammany County",2025-07-16,,,,,https://www.auction.com/details/29169-highway-190-lacombe-la-1765858,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Lacombe, LA 70445, St Tammany County",Lacombe,LA 70445,LA,70445, St Tammany County,
,4338 Monroe Ave,"Baton Rouge, LA 70802, East Baton Rouge County",2025-07-16,,,,754488 Div 21,https://www.auction.com/details/4338-monroe-ave-baton-rouge-la-1766312,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Baton Rouge, LA 70802, East Baton Rouge County",Baton Rouge,LA 70802,LA,70802, East Baton Rouge County,
,110 Gilbert Street,"Lafayette, LA 70501, Lafayette County",2025-07-16,,,,,https://www.auction.com/details/110-gilbert-st-lafayette-la-1766892,Auction.com,"Jackson and McPherson, LLC",,"Lafayette, LA 70501, Lafayette County",Lafayette,LA 70501,LA,70501, Lafayette County,
,147 Frogmore Dr,"Ruston, LA 71270, Lincoln County",2025-07-16,,,,,https://www.auction.com/details/147-frogmore-dr-ruston-la-1767769,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Ruston, LA 71270, Lincoln County",Ruston,LA 71270,LA,71270, Lincoln County,
,3044 Bartlett Street,"Baton Rouge, LA 70805, East Baton Rouge County",2025-07-16,,,,,https://www.auction.com/details/3044-bartlett-st-baton-rouge-la-1767886,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"Baton Rouge, LA 70805, East Baton Rouge County",Baton Rouge,LA 70805,LA,70805, East Baton Rouge County,
,12203 Amber Lakes Dr,"Greenwell Springs, LA 70739, East Baton Rouge County",2025-07-16,,,,,https://www.auction.com/details/12203-amber-lakes-dr-greenwell-springs-la-1769639,Auction.com,ALAW,(504) 438-1251,"Greenwell Springs, LA 70739, East Baton Rouge County",Greenwell Springs,LA 70739,LA,70739, East Baton Rouge County,
,5933 Yarbrough Rd,"Shreveport, LA 71119, Caddo County",2025-07-16,,,,,https://www.auction.com/details/5933-yarbrough-rd-shreveport-la-1769844,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Shreveport, LA 71119, Caddo County",Shreveport,LA 71119,LA,71119, Caddo County,
,306 Taylor Dr,"Monroe, LA 71203, Ouachita County",2025-07-16,,,,,https://www.auction.com/details/306-taylor-dr-monroe-la-1771126,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Monroe, LA 71203, Ouachita County",Monroe,LA 71203,LA,71203, Ouachita County,
,103 Camellia Ln,"Pineville, LA 71360, Rapides County",2025-07-16,,,,281692 C,https://www.auction.com/details/103-camellia-ln-pineville-la-1772232,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Pineville, LA 71360, Rapides County",Pineville,LA 71360,LA,71360, Rapides County,
,216 Willow Drive,"Gretna, LA 70053, Jefferson County",2025-07-16,,,,apn n/a,https://www.auction.com/details/216-willow-dr-gretna-la-1773042,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Gretna, LA 70053, Jefferson County",Gretna,LA 70053,LA,70053, Jefferson County,
,1228 Avenue E,"Marrero, LA 70072, Jefferson County",2025-07-16,,,,,https://www.auction.com/details/1228-avenue-e-marrero-la-1773043,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Marrero, LA 70072, Jefferson County",Marrero,LA 70072,LA,70072, Jefferson County,
,154 Cane Run Court,"Duson, LA 70529, Lafayette Parish County",2025-07-16,,,,,https://www.auction.com/details/154-cane-run-ct-duson-la-1775201,Auction.com,"Jackson and McPherson, LLC",,"Duson, LA 70529, Lafayette Parish County",Duson,LA 70529,LA,70529, Lafayette Parish County,
,14 La Quinta Dr,"Slidell, LA 70458, St. Tammany County",2025-07-16,,,,,https://www.auction.com/details/14-la-quinta-dr-slidell-la-1775544,Auction.com,ALAW,(504) 438-1251,"Slidell, LA 70458, St. Tammany County",Slidell,LA 70458,LA,70458, St. Tammany County,
,7 Garden Pl,"River Ridge, LA 70123, Jefferson County",2025-07-16,,,,,https://www.auction.com/details/7-garden-pl-river-ridge-la-1776337,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"River Ridge, LA 70123, Jefferson County",River Ridge,LA 70123,LA,70123, Jefferson County,
,2908 Earl Dr,"Meraux, LA 70075, Saint Bernard County",2025-07-16,,,,,https://www.auction.com/details/2908-earl-dr-meraux-la-1779524,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Meraux, LA 70075, Saint Bernard County",Meraux,LA 70075,LA,70075, Saint Bernard County,
,13878 Friendship Road,"Walker, LA 70785, Livingston Parish County",2025-07-16,,,,,https://www.auction.com/details/13878-friendship-rd-walker-la-1780428,Auction.com,"Jackson and McPherson, LLC",,"Walker, LA 70785, Livingston Parish County",Walker,LA 70785,LA,70785, Livingston Parish County,
,106 Parkway Circle,"Crowley, LA 70526, Acadia County",2025-07-16,,,,,https://www.auction.com/details/106-parkway-cir-crowley-la-1783036,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Crowley, LA 70526, Acadia County",Crowley,LA 70526,LA,70526, Acadia County,
,6823 Rockwell Pl,"Shreveport, LA 71119, Caddo Parish County",2025-07-16,,,,,https://www.auction.com/details/6823-rockwell-pl-shreveport-la-1784337,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Shreveport, LA 71119, Caddo Parish County",Shreveport,LA 71119,LA,71119, Caddo Parish County,
,37096 Rustic Ln,"Denham Springs, LA 70706, Livingston County",2025-07-16,,,,182986 E,https://www.auction.com/details/37096-rustic-ln-denham-springs-la-1730565,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Denham Springs, LA 70706, Livingston County",Denham Springs,LA 70706,LA,70706, Livingston County,
,16842 Glenwood Springs Dr,"Greenwell Springs, LA 70739, East Baton Rouge County",2025-07-16,,,,,https://www.auction.com/details/16842-glenwood-springs-dr-greenwell-springs-la-1766669,Auction.com,"Herschel C. Adcock, Jr., L.L.C.",(225) 756-0373,"Greenwell Springs, LA 70739, East Baton Rouge County",Greenwell Springs,LA 70739,LA,70739, East Baton Rouge County,
,13800 Wincrest Dr,"Walker, LA 70785, Livingston County",2025-07-16,,,,178976 C,https://www.auction.com/details/13800-wincrest-dr-walker-la-1722245,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Walker, LA 70785, Livingston County",Walker,LA 70785,LA,70785, Livingston County,
,2600 Maple St,"Morgan City, LA 70380, St. Mary County",2025-07-16,,,,139158 B,https://www.auction.com/details/2600-maple-st-morgan-city-la-1734200,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Morgan City, LA 70380, St. Mary County",Morgan City,LA 70380,LA,70380, St. Mary County,
,399 Voorhies Lane,"Moreauville, LA 71355, Avoyelles County",2025-07-16,,,,2024-2644 B,https://www.auction.com/details/399-voorhies-ln-moreauville-la-1734457,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Moreauville, LA 71355, Avoyelles County",Moreauville,LA 71355,LA,71355, Avoyelles County,
,14385 Carrol Ave,"Walker, LA 70785, Livingston County",2025-07-16,,,,186923 D,https://www.auction.com/details/14385-carrol-ave-walker-la-1737979,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Walker, LA 70785, Livingston County",Walker,LA 70785,LA,70785, Livingston County,
,7952 Ben Fugler Road,"Denham Springs, LA 70706, Livingston County",2025-07-16,,,,185248 F,https://www.auction.com/details/7952-ben-fugler-rd-denham-springs-la-1739233,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Denham Springs, LA 70706, Livingston County",Denham Springs,LA 70706,LA,70706, Livingston County,
,33939 Renee Ave,"Denham Springs, LA 70706, Livingston County",2025-07-16,,,,F23-3028,https://www.auction.com/details/33939-renee-ave-denham-springs-la-1748137,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Denham Springs, LA 70706, Livingston County",Denham Springs,LA 70706,LA,70706, Livingston County,
,401 W Lake Dr,"Slidell, LA 70461, St. Tammany County",2025-07-16,,,,202412684 H,https://www.auction.com/details/401-w-lake-dr-slidell-la-1748867,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Slidell, LA 70461, St. Tammany County",Slidell,LA 70461,LA,70461, St. Tammany County,
,25580 S Mimosa Dr,"Lacombe, LA 70445, St. Tammany County",2025-07-16,,,,202511413 J,https://www.auction.com/details/25580-s-mimosa-dr-lacombe-la-1755866,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Lacombe, LA 70445, St. Tammany County",Lacombe,LA 70445,LA,70445, St. Tammany County,
,11321 Clover Knoll Drive,"Covington, LA 70433, St. Tammany County",2025-07-16,,,,202511455,https://www.auction.com/details/11321-clover-knoll-dr-covington-la-1758751,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Covington, LA 70433, St. Tammany County",Covington,LA 70433,LA,70433, St. Tammany County,
,36544 Lawrence St,"Slidell, LA 70460, Saint Tammany County",2025-07-16,,,,112330,https://www.auction.com/details/36544-lawrence-st-slidell-la-1760062,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Slidell, LA 70460, Saint Tammany County",Slidell,LA 70460,LA,70460, Saint Tammany County,
,60387 Citron Drive,"Lacombe, LA 70445, Saint Tammany County",2025-07-16,,,,24-032960-FC0...,https://www.auction.com/details/60387-citron-dr-lacombe-la-1760122,Auction.com,"Shapiro and Daigrepont, L.L.C.",,"Lacombe, LA 70445, Saint Tammany County",Lacombe,LA 70445,LA,70445, Saint Tammany County,
,3171 Marydon Dr,"Baton Rouge, LA 70814, East Baton Rouge County",2025-07-16,,,,737776 Div 21,https://www.auction.com/details/3171-marydon-dr-baton-rouge-la-1761883,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Baton Rouge, LA 70814, East Baton Rouge County",Baton Rouge,LA 70814,LA,70814, East Baton Rouge County,
,120 Darlene Street,"Houma, LA 70364, Terrebonne County",2025-07-16,,,,201874 A,https://www.auction.com/details/120-darlene-st-houma-la-1763141,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Houma, LA 70364, Terrebonne County",Houma,LA 70364,LA,70364, Terrebonne County,
,270 Revere Ln,"Houma, LA 70363, Terrebonne County",2025-07-16,,,,180800 DIV B,https://www.auction.com/details/270-revere-ln-houma-la-1765508,Auction.com,"Dean Morris, L.L.C.",(318) 338-1440,"Houma, LA 70363, Terrebonne County",Houma,LA 70363,LA,70363, Terrebonne County,
,8028 Kimberly Road,"Dundalk, MD 21222, Baltimore County",2025-07-16,,,,85774,https://www.auction.com/details/8028-kimberly-rd-dundalk-md-1757010,Auction.com,"Samuel I. White, P.C.",(301) 804-3400,"Dundalk, MD 21222, Baltimore County",Dundalk,MD 21222,MD,21222, Baltimore County,
,47 Tilia Drive,"Elkton, MD 21921, Cecil County",2025-07-16,,,,89010,https://www.auction.com/details/47-tilia-dr-elkton-md-1760640,Auction.com,"Samuel I. White, P.C.",(301) 804-3400,"Elkton, MD 21921, Cecil County",Elkton,MD 21921,MD,21921, Cecil County,
,3459 Chestnut Ave,"Baltimore, MD 21211, Baltimore City County",2025-07-16,,,,,https://www.auction.com/details/3459-chestnut-ave-baltimore-md-1763956,Auction.com,"Samuel I. White, P.C.",(301) 804-3400,"Baltimore, MD 21211, Baltimore City County",Baltimore,MD 21211,MD,21211, Baltimore City County,
,5317 Gwynn Oak Ave,"Baltimore, MD 21207, Baltimore County",2025-07-16,,,,,https://www.auction.com/details/5317-gwynn-oak-ave-baltimore-md-1767525,Auction.com,Brock & Scott PLLC,(410) 306-7821,"Baltimore, MD 21207, Baltimore County",Baltimore,MD 21207,MD,21207, Baltimore County,
,5502 Belle Ave,"Baltimore, MD 21207, Baltimore City County",2025-07-16,,,,,https://www.auction.com/details/5502-belle-ave-baltimore-md-1767697,Auction.com,Brock & Scott PLLC,(410) 306-7821,"Baltimore, MD 21207, Baltimore City County",Baltimore,MD 21207,MD,21207, Baltimore City County,
,9462 Heddy Dr,"Flushing, MI 48433, Genesee County",2025-07-16,,,,,https://www.auction.com/details/9462-heddy-dr-flushing-mi-1736652,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Flushing, MI 48433, Genesee County",Flushing,MI 48433,MI,48433, Genesee County,
,4250 Langley Court SE 5,"Grand Rapids, MI 49508, Kent County",2025-07-16,,,,,https://www.auction.com/details/4250-langley-ct-se-grand-rapids-mi-1739242,Auction.com,Orlans PC,(248) 502-1400,"Grand Rapids, MI 49508, Kent County",Grand Rapids,MI 49508,MI,49508, Kent County,
,12815 Hamilton Hills Dr,"Gowen, MI 49326, Kent County",2025-07-16,,,,,https://www.auction.com/details/12815-hamilton-hills-dr-gowen-mi-1739249,Auction.com,Orlans PC,(248) 502-1400,"Gowen, MI 49326, Kent County",Gowen,MI 49326,MI,49326, Kent County,
,4411 Inverness St,"Dexter, MI 48130, Washtenaw County",2025-07-16,,,,,https://www.auction.com/details/4411-inverness-st-dexter-mi-1739366,Auction.com,Orlans PC,(248) 502-1400,"Dexter, MI 48130, Washtenaw County",Dexter,MI 48130,MI,48130, Washtenaw County,
,4107 Kalamazoo Ave SE,"Grand Rapids, MI 49508, Kent County",2025-07-16,,,,,https://www.auction.com/details/4107-kalamazoo-ave-se-grand-rapids-mi-1740179,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Grand Rapids, MI 49508, Kent County",Grand Rapids,MI 49508,MI,49508, Kent County,
,3532 Evergreen Pkwy,"Flint, MI 48503, Genesee County",2025-07-16,,,,,https://www.auction.com/details/3532-evergreen-pkwy-flint-mi-1761765,Auction.com,Orlans PC,(248) 502-1400,"Flint, MI 48503, Genesee County",Flint,MI 48503,MI,48503, Genesee County,
,7444 Peregrine Ln,"Davison, MI 48423, Genesee County",2025-07-16,,,,,https://www.auction.com/details/7444-peregrine-ln-davison-mi-1766485,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Davison, MI 48423, Genesee County",Davison,MI 48423,MI,48423, Genesee County,
,108 Hill St,"Dowagiac, MI 49047, Cass County",2025-07-16,,,,,https://www.auction.com/details/108-hill-st-dowagiac-mi-1784128,Auction.com,Sottile & Barile LLC,,"Dowagiac, MI 49047, Cass County",Dowagiac,MI 49047,MI,49047, Cass County,
,180 Walker St,"Imlay City, MI 48444, Lapeer County",2025-07-16,,,,25MI00210-2,https://www.auction.com/details/180-walker-st-imlay-city-mi-1751388,Auction.com,Randall S. Miller and Associates,,"Imlay City, MI 48444, Lapeer County",Imlay City,MI 48444,MI,48444, Lapeer County,
,2926 Chamberlain Ave SE,"Grand Rapids, MI 49508-1514, Kent County",2025-07-16,,,,512190F03,https://www.auction.com/details/2926-chamberlain-ave-se-grand-rapids-mi-1739883,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Grand Rapids, MI 49508-1514, Kent County",Grand Rapids,MI 49508-1514,MI,49508-1514, Kent County,
,3861 Fenwick St NW,"Walker, MI 49534-2210, Kent County",2025-07-16,,,,515987F01,https://www.auction.com/details/3861-fenwick-st-nw-walker-mi-1752249,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Walker, MI 49534-2210, Kent County",Walker,MI 49534-2210,MI,49534-2210, Kent County,
,1445 Edith Ave NE,"Grand Rapids, MI 49505, Kent County",2025-07-16,,,,25-001321-1,https://www.auction.com/details/1445-edith-ave-ne-grand-rapids-mi-1773062,Auction.com,SCHNEIDERMAN & SHERMAN PC,(248) 539-7400,"Grand Rapids, MI 49505, Kent County",Grand Rapids,MI 49505,MI,49505, Kent County,
,1367 Flushing Rd,"Flushing, MI 48433, Genesee County",2025-07-16,,,,23-000954-2,https://www.auction.com/details/1367-flushing-rd-flushing-mi-1740192,Auction.com,SCHNEIDERMAN & SHERMAN PC,(248) 539-7400,"Flushing, MI 48433, Genesee County",Flushing,MI 48433,MI,48433, Genesee County,
,5076 Mark David Dr,"Swartz Creek, MI 48473-8500, Genesee County",2025-07-16,,,,516128F03,https://www.auction.com/details/5076-mark-david-dr-swartz-creek-mi-1772775,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Swartz Creek, MI 48473-8500, Genesee County",Swartz Creek,MI 48473-8500,MI,48473-8500, Genesee County,
,2372 Cornell Dr,"Beaverton, MI 48612-9763, Gladwin County",2025-07-16,,,,511938F04,https://www.auction.com/details/2372-cornell-dr-beaverton-mi-1772838,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Beaverton, MI 48612-9763, Gladwin County",Beaverton,MI 48612-9763,MI,48612-9763, Gladwin County,
,2037 Cashin St,"Burton, MI 48509-1137, Genesee County",2025-07-16,,,,524069F01,https://www.auction.com/details/2037-cashin-st-burton-mi-1773360,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Burton, MI 48509-1137, Genesee County",Burton,MI 48509-1137,MI,48509-1137, Genesee County,
,501 W Eldridge Ave,"Flint, MI 48505-3212, Genesee County",2025-07-16,,,,520149F01,https://www.auction.com/details/501-w-eldridge-ave-flint-mi-1776475,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Flint, MI 48505-3212, Genesee County",Flint,MI 48505-3212,MI,48505-3212, Genesee County,
,4035 Horizon Dr,"Davison, MI 48423, Genesee County",2025-07-16,,,,24-002347-2,https://www.auction.com/details/4035-horizon-dr-davison-mi-1778175,Auction.com,SCHNEIDERMAN & SHERMAN PC,(248) 539-7400,"Davison, MI 48423, Genesee County",Davison,MI 48423,MI,48423, Genesee County, Unit 22
,244 Woodland Ave,"Jackson, MI 49203-1045, Jackson County",2025-07-16,,,,,https://www.auction.com/details/244-woodland-ave-jackson-mi-1766245,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Jackson, MI 49203-1045, Jackson County",Jackson,MI 49203-1045,MI,49203-1045, Jackson County,
,69682 Ironwood Dr,"Niles, MI 49120, Cass County",2025-07-16,,,,,https://www.auction.com/details/69682-ironwood-dr-niles-mi-1770737,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Niles, MI 49120, Cass County",Niles,MI 49120,MI,49120, Cass County,
,7920 Burlingame Ave SW,"Byron Center, MI 49315, Kent County",2025-07-16,,,,,https://www.auction.com/details/7920-burlingame-ave-sw-byron-center-mi-1772266,Auction.com,Orlans PC,(248) 502-1400,"Byron Center, MI 49315, Kent County",Byron Center,MI 49315,MI,49315, Kent County,
,2225 McLaren Street,"Burton, MI 48529, Genesee County",2025-07-16,,,,,https://www.auction.com/details/2225-mclaren-st-burton-mi-1772379,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Burton, MI 48529, Genesee County",Burton,MI 48529,MI,48529, Genesee County,
,106 Hamilton St,"Dowagiac, MI 49047, Cass County",2025-07-16,,,,,https://www.auction.com/details/106-hamilton-st-dowagiac-mi-1772402,Auction.com,RAS Crane,(513) 712-8220,"Dowagiac, MI 49047, Cass County",Dowagiac,MI 49047,MI,49047, Cass County,
,733 River St,"Alpena, MI 49707, Alpena County",2025-07-16,,,,,https://www.auction.com/details/733-river-st-alpena-mi-1773368,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Alpena, MI 49707, Alpena County",Alpena,MI 49707,MI,49707, Alpena County,
,513 Krause St,"Ann Arbor, MI 48103, Washtenaw County",2025-07-16,,,,,https://www.auction.com/details/513-krause-st-ann-arbor-mi-1773430,Auction.com,"Johnson, Blumberg & Associates, LLC",,"Ann Arbor, MI 48103, Washtenaw County",Ann Arbor,MI 48103,MI,48103, Washtenaw County,
,1025 Washington Dr,"Grand Blanc, MI 48507, Genesee County",2025-07-16,,,,25MI00404-1,https://www.auction.com/details/1025-washington-dr-grand-blanc-mi-1774746,Auction.com,Randall S. Miller and Associates,,"Grand Blanc, MI 48507, Genesee County",Grand Blanc,MI 48507,MI,48507, Genesee County,
,3052 Stratford,"Flint, MI 48504, Genesee County",2025-07-16,,,,,https://www.auction.com/details/3052-stratford-st-flint-mi-1774836,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Flint, MI 48504, Genesee County",Flint,MI 48504,MI,48504, Genesee County,
,718 Madouse Ct,"Whitmore Lake, MI 48189, Washtenaw County",2025-07-16,,,,,https://www.auction.com/details/718-madouse-ct-whitmore-lake-mi-1775189,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Whitmore Lake, MI 48189, Washtenaw County",Whitmore Lake,MI 48189,MI,48189, Washtenaw County,
,6209 E Atherton Rd,"Burton, MI 48519, Genesee County",2025-07-16,,,,,https://www.auction.com/details/6209-e-atherton-rd-burton-mi-1775637,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Burton, MI 48519, Genesee County",Burton,MI 48519,MI,48519, Genesee County,
,2952 Nathan Ave,"Flint, MI 48506-2436, Genesee County",2025-07-16,,,,,https://www.auction.com/details/2952-nathan-ave-flint-mi-1775763,Auction.com,"Trott and Trott, P.C.",(248) 642-2515,"Flint, MI 48506-2436, Genesee County",Flint,MI 48506-2436,MI,48506-2436, Genesee County,
,2119 W Maple Rapids Rd,"Saint Johns, MI 48879, Clinton County",2025-07-16,,,,,https://www.auction.com/details/2119-w-maple-rapids-rd-saint-johns-mi-1776461,Auction.com,Orlans PC,(248) 502-1400,"Saint Johns, MI 48879, Clinton County",Saint Johns,MI 48879,MI,48879, Clinton County,
