Value,Address,Address2,Date,Time,Date2,Time2,Case,URL,Source,Atty,Atty_Contact
,413 Goodreau Lane,"Glide, OR 97443, Douglas County","Wednesday, Jul 30, 2025
Add to calendar",9:00 am,,,OR-23-964218-...,https://www.auction.com/details/413-goodreau-ln-glide-or-1705990,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (619) 645-7711
,648 S Coral St,"Rockaway Beach, OR 97136, Tillamook County","Wednesday, Jul 30, 2025
Add to calendar",9:00 am,,,25-72809,https://www.auction.com/details/648-s-coral-st-rockaway-beach-or-1707696,Auction.com,"ZBS Law, LLP",Borrowers/homeowners should call (503) 946-6558
,200 Berthel Avenue,"Canyonville, OR 97417, Douglas County","Wednesday, Jul 30, 2025
Add to calendar",9:00 am,,,OR09000035-24,https://www.auction.com/details/200-berthel-ave-canyonville-or-1781810,Auction.com,Trustee Corps,Borrowers/homeowners should call (949) 252-8300
,281 West Ave,"Winfield, MO 63389, Lincoln County","Wednesday, Jul 30, 2025
Add to calendar",3:30 pm,,,251940,https://www.auction.com/details/281-west-ave-winfield-mo-1790926,Auction.com,"South Law, P.C.",Borrowers/homeowners should call (913) 663-7600
,1 Columbia Road,"Billerica, MA 01821, Middlesex County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,24-000926,https://www.auction.com/details/1-columbia-rd-billerica-ma-1783180,Auction.com,Orlans PC,Borrowers/homeowners should call (781) 790-7800
,37 George Moody Road,"Weare, NH 03281, Hillsborough County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,25-048682-FC0...,https://www.auction.com/details/37-george-moody-rd-weare-nh-1778045,Auction.com,"Korde and Associates, P.C.",
,520 Purce Street,"Hillside, NJ 07205, Union County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,,https://www.auction.com/details/520-purce-st-hillside-nj-1767667,Auction.com,"RAS Citron, LLC - NJ",
,284 Shelton Ter,"Hillside, NJ 07205, Union County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,13424-12-0655...,https://www.auction.com/details/284-shelton-ter-hillside-nj-1787625,Auction.com,Parker McCay P.A.,
,6315 Whittier Drive,"Millville, NJ 08332, Cumberland County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,03-022120-F00,https://www.auction.com/details/6315-whittier-dr-millville-nj-1791260,Auction.com,"Frenkel, Lambert, Weiss, Weisman and Gordon LLP",
,44 Village Avenue,"Elmont, NY 11003, Nassau County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,19-080083,https://www.auction.com/details/44-village-ave-elmont-ny-1774636,Auction.com,Logs Legal Group LLP,Borrowers/homeowners should call (585) 247-9000
,1900 Carleton Place,"Baldwin, NY 11510, Nassau County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,18-071936,https://www.auction.com/details/1900-carleton-pl-north-baldwin-ny-1774637,Auction.com,Logs Legal Group LLP,Borrowers/homeowners should call (585) 247-9000
,128 Hunnewell Ave,"Elmont, NY 11003, Nassau County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,SH01-63890,https://www.auction.com/details/128-hunnewell-ave-elmont-ny-1784085,Auction.com,Davidson Fink LLP,Borrowers/homeowners should call (585) 546-6448
,145 Kelli Ln,"Tazewell, TN 37879, Claiborne County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,24-25345-FC01,https://www.auction.com/details/145-kelli-ln-tazewell-tn-1725699,Auction.com,Brock and Scott PLLC,Borrowers/homeowners should call (615) 550-7697
,611 Luther Rd,"Dickson, TN 37055, Dickson County","Wednesday, Jul 30, 2025
Add to calendar",2:00 pm,,,24-06662,https://www.auction.com/details/611-luther-rd-dickson-tn-1756889,Auction.com,"Marinosci Law Group, P.C.",
,63 Wall Street,"Eureka Springs, AR 72632, Carroll County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,362468,https://www.auction.com/details/63-wall-st-eureka-springs-ar-1755558,Auction.com,Wilson and Associates PLLC,Borrowers/homeowners should call (501) 219-9388
,8934 S Euclid,"Chicago, IL 60617, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2024CH09585,https://www.auction.com/details/8934-s-euclid-ave-chicago-il-1745372,Auction.com,KLUEVER LAW GROUP,Borrowers/homeowners should call (312) 236-0077
,11433 S Racine Ave,"Chicago, IL 60643, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2022CH07728,https://www.auction.com/details/11433-s-racine-ave-chicago-il-1747056,Auction.com,"Diaz Anselmo & Associates, LLC",Borrowers/homeowners should call (630) 453-6960
,5027 S Racine Ave,"Chicago, IL 60609, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2024CH05620,https://www.auction.com/details/5027-s-racine-ave-chicago-il-1748420,Auction.com,CODILIS & ASSOCIATES PC,Borrowers/homeowners should call (630) 794-5300
,9039 South Phillips Avenue,"Chicago, IL 60617, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,24 CH 2853,https://www.auction.com/details/9039-s-phillips-ave-chicago-il-1769931,Auction.com,LOGS Legal Group LLP,Borrowers/homeowners should call (847) 291-1717
,15413 South Ellis Avenue,"Dolton, IL 60419, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,24 CH 02580,https://www.auction.com/details/15413-ellis-ave-dolton-il-1772920,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (312) 346-9088
,116 West 108th Street,"Chicago, IL 60628, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,24 CH 03342,https://www.auction.com/details/116-w-108th-st-chicago-il-1774528,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (312) 346-9088
,11830 South Watkins Avenue,"Chicago, IL 60643, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,23 CH 6058,https://www.auction.com/details/11830-s-watkins-ave-chicago-il-1774809,Auction.com,LOGS Legal Group LLP,Borrowers/homeowners should call (847) 291-1717
,8714 W. 123rd St.,"Palos Park, IL 60464, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2023CH07111,https://www.auction.com/details/8714-w-123-st-palos-park-il-1740082,Auction.com,"Diaz Anselmo & Associates, LLC",Borrowers/homeowners should call (630) 453-6960
,16615 Parkside Ave,"South Holland, IL 60473, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2019CH07555,https://www.auction.com/details/16615-parkside-ave-south-holland-il-1780634,Auction.com,CODILIS & ASSOCIATES PC,Borrowers/homeowners should call (630) 794-5300
,208 S 17th Ave,"Maywood, IL 60153, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2024CH07210,https://www.auction.com/details/208-s-17th-ave-maywood-il-1741467,Auction.com,CODILIS & ASSOCIATES PC,Borrowers/homeowners should call (630) 794-5300
,4257 Southwest Highway,"Hometown, IL 60456, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,24 CH 07225,https://www.auction.com/details/4257-southwest-hwy-hometown-il-1743665,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (312) 346-9088
,205 Longford Drive,"Elgin, IL 60120, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,2024CH10433,https://www.auction.com/details/205-longford-dr-elgin-il-1743672,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (312) 346-9088
,953 Dartmouth Ave,"Matteson, IL 60443, Cook County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,24 CH 3803,https://www.auction.com/details/953-dartmouth-ave-matteson-il-1744168,Auction.com,LOGS Legal Group LLP,Borrowers/homeowners should call (847) 291-1717
,166 South Rd,"Swanzey, NH 03446, Cheshire County","Wednesday, Jul 30, 2025
Add to calendar",12:00 pm,,,27743-130622,https://www.auction.com/details/166-south-rd-swanzey-nh-1783102,Auction.com,"Harmon Law Offices, P.C.",Borrowers/homeowners should call (617) 558-0500
,12 Elaine Road,"Sheridan, AR 72150, Grant County","Wednesday, Jul 30, 2025
Add to calendar",11:30 am,,,359684,https://www.auction.com/details/12-elaine-rd-sheridan-ar-1779705,Auction.com,Wilson and Associates PLLC,Borrowers/homeowners should call (501) 219-9388
,620 Cambridge Road,"Hueytown, AL 35023, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-00872-LC-A...,https://www.auction.com/details/620-cambridge-rd-hueytown-al-1763049,Auction.com,"Tiffany & Bosco, P.A.",Borrowers/homeowners should call (205) 930-5200
,1713 Savannah Park,"Birmingham, AL 35216, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,30-FC-25-0120...,https://www.auction.com/details/1713-savannah-park-vestavia-hills-al-1773022,Auction.com,"Spina and Lavelle, PC",Borrowers/homeowners should call (205) 298-1800
,1004 Coleman Dr,"Mc Calla, AL 35111, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-06908AL,https://www.auction.com/details/1004-coleman-dr-mc-calla-al-1784471,Auction.com,"McCalla Raymer Leibert Pierce, LLC",Borrowers/homeowners should call (770) 643-7200
,1004 Pinewood Ave,"Bessemer, AL 35023, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,24-09709-QQ-A...,https://www.auction.com/details/1004-pinewood-ave-bessemer-al-1791426,Auction.com,"Tiffany & Bosco, P.A.",Borrowers/homeowners should call (205) 930-5200
,2241 East 20th Street,"Douglas, AZ 85607, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,AZ-25-1012605...,https://www.auction.com/details/2241-e-20th-st-douglas-az-1733241,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (866) 645-7711
,2048 Santa Rita Drive,"Sierra Vista, AZ 85635, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,AZ06000056-25...,https://www.auction.com/details/2048-santa-rita-dr-sierra-vista-az-1734822,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,860 W Airport Rd,"Willcox, AZ 85643, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-04266-GM-A...,https://www.auction.com/details/860-w-airport-rd-willcox-az-1739766,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,4401 Calle Cibola,"Sierra Vista, AZ 85635, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-005236,https://www.auction.com/details/4401-calle-cibola-sierra-vista-az-1739930,Auction.com,America West Lender Services,Borrowers/homeowners should call (844) 693-4761
,932 Cactus Wren Lane,"Sierra Vista, AZ 85635, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-40127-WF-A...,https://www.auction.com/details/932-cactus-wren-ln-sierra-vista-az-1774627,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,607 E Santa Fe Cir,"Benson, AZ 85602, Cochise County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,AZ14000002-25,https://www.auction.com/details/607-e-santa-fe-cir-benson-az-1779679,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,1219 West Stephenson Avenue,"Harrison, AR 72601, Boone County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-000031-453,https://www.auction.com/details/1219-w-stephenson-ave-harrison-ar-1764604,Auction.com,"Mackie Wolf Zientz and Mann, P. C.",Borrowers/homeowners should call (501) 218-8111
,1916 S Jackson St,"Butte, MT 59701-3016, Silver Bow County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,MT21878,https://www.auction.com/details/1916-s-jackson-st-butte-mt-1710931,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,28 Joffre Street,"Goffstown, NH 03102, Hillsborough County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,27839-131325,https://www.auction.com/details/28-joffre-st-manchester-nh-1767168,Auction.com,"Harmon Law Offices, P.C.",Borrowers/homeowners should call (617) 558-0500
,9 2nd Street,"Delhi, NY 13753, Delaware County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-302493,https://www.auction.com/details/9-2-street-aka-9-2-st-delhi-ny-1748145,Auction.com,"Robertson, Anschutz, Schneid, Crane & Partners, PLLC",Borrowers/homeowners should call (516) 280-7675
,5125 Goldfinch Ct,"Granite Falls, NC 28630, Caldwell County","Wednesday, Jul 30, 2025
Add to calendar",11:00 am,,,25-271271,https://www.auction.com/details/5125-goldfinch-ct-granite-falls-nc-1785926,Auction.com,"RAS Crane, LLC",Borrowers/homeowners should call (470) 321-7112
,2020 W Via Tierra Santa,"Tucson, AZ 85746, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-04206-PM-A...,https://www.auction.com/details/2020-w-via-tierra-santa-tucson-az-1743296,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,3533 N Palmer Dr,"Tucson, AZ 85716, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-01020-PM-A...,https://www.auction.com/details/3533-n-palmer-dr-tucson-az-1746789,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,8844 N Twin Peaks Brook Road,"Tucson, AZ 85743, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-04298-JP-A...,https://www.auction.com/details/8844-n-twin-peaks-brook-rd-tucson-az-1747323,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,4748 E Orchard Grass Dr,"Tucson, AZ 85756, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,179807,https://www.auction.com/details/4748-e-orchard-grass-dr-tucson-az-1754765,Auction.com,Prime Recon LLC,Borrowers/homeowners should call (888) 725-4142
,960 W Turnstone Pl,"Tucson, AZ 85737, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-09355-US-A...,https://www.auction.com/details/960-w-turnstone-pl-tucson-az-1759341,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,3730 S. Sarnoff Dr,"Tucson, AZ 85730, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-004602,https://www.auction.com/details/3730-s-sarnoff-dr-tucson-az-1763107,Auction.com,America West Lender Services,Borrowers/homeowners should call (844) 693-4761
,17321 E Zoo Stage Rd,"Vail, AZ 85641, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-72725,https://www.auction.com/details/17321-e-zoo-stage-rd-vail-az-1766626,Auction.com,"ZBS Law, LLP",Borrowers/homeowners should call (602) 282-6188
,6141 E Calle Aurora,"Tucson, AZ 85711, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,178952,https://www.auction.com/details/6141-e-calle-aurora-tucson-az-1775321,Auction.com,"The Mortgage Law Firm, PC.",Borrowers/homeowners should call (619) 465-8200
,2921 E Edward Lane,"Vail, AZ 85641, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ-25-1006604...,https://www.auction.com/details/2921-e-edward-ln-vail-az-1780991,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (866) 645-7711
,2548 E Glenn Street,"Tucson, AZ 85716, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ09000087-24,https://www.auction.com/details/2548-e-glenn-st-tucson-az-1781942,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,2951 W Nebraska St,"Tuscon, AZ 85746, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ09000010-25,https://www.auction.com/details/2951-w-nebraska-st-tucson-az-1781969,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,2023 W Arizona Rose Dr,"Oro Valley, AZ 85737, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ05000021-25,https://www.auction.com/details/2023-w-arizona-rose-dr-oro-valley-az-1781971,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,12064 E Becker Drive,"Vail, AZ 85641, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-71535,https://www.auction.com/details/12064-e-becker-dr-vail-az-1785094,Auction.com,"ZBS Law, LLP",Borrowers/homeowners should call (602) 282-6188
,9542 East Irene Street,"Tucson, AZ 85730, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,2025-00139-AZ,https://www.auction.com/details/9542-e-irene-st-tucson-az-1732052,Auction.com,Western Progressive,Borrowers/homeowners should call (866) 960-8299
,5853 E 19th Street,"Tucson, AZ 85711, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-004236,https://www.auction.com/details/5853-e-19th-st-tucson-az-1733452,Auction.com,America West Lender Services,Borrowers/homeowners should call (844) 693-4761
,8709 E Almond St,"Tucson, AZ 85730, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-003690,https://www.auction.com/details/8709-e-almond-st-tucson-az-1733800,Auction.com,America West Lender Services,Borrowers/homeowners should call (844) 693-4761
,1034 W Camino Hombre Viejo,"Sahuarita, AZ 85629, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ09000022-25,https://www.auction.com/details/1034-w-camino-hombre-viejo-sahuarita-az-1734131,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,7511 E Golf Links Rd,"Tucson, AZ 85730, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-67779,https://www.auction.com/details/7511-e-golf-links-rd-tucson-az-1737533,Auction.com,"ZBS Law, LLP",Borrowers/homeowners should call (602) 282-6188
,1874 East Calle Grandiosa,"Tucson, AZ 85706, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ-25-1012827...,https://www.auction.com/details/1874-e-calle-grandiosa-tucson-az-1737759,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (866) 645-7711
,2950 N Alvernon Way Unit 11101,"Tucson, AZ 85712, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,AZ09000029-25,https://www.auction.com/details/2950-n-alvernon-way-tucson-az-1741704,Auction.com,TRUSTEE CORPS,Borrowers/homeowners should call (949) 252-8300
,17310 S. Myrick Lane,"Sahuarita, AZ 85629, Pima County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-04154-PM-A...,https://www.auction.com/details/17310-s-myrick-ln-sahuarita-az-1743196,Auction.com,"Tiffany & Bosco, PA",Borrowers/homeowners should call (602) 255-6000
,2303 West Ave,"Santa Rosa, CA 95407, Sonoma County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,CA-24-1000306...,https://www.auction.com/details/2303-west-ave-santa-rosa-ca-1745852,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (866) 645-7711
,1100 Albion Place,"Santa Rosa, CA 95401, Sonoma County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-12562,https://www.auction.com/details/1100-albion-pl-santa-rosa-ca-1759304,Auction.com,Ghidotti Berger LLP,Borrowers/homeowners should call (949) 427-2010
,"14984 Canyon 2, Guerneville, Ca 95446 Aka 14984 Canyon 2 Rd","Guerneville, CA 95446, Sonoma County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,2024-10524-GS...,https://www.auction.com/details/14984-canyon-2-rd-guerneville-ca-1779654,Auction.com,"Nestor Solutions, LLC",Borrowers/homeowners should call (888) 403-4115
,2750 Purgatory Dr,"Colorado Springs, CO 80918, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,TS 10394997,https://www.auction.com/details/2750-purgatory-dr-colorado-springs-co-1717098,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,104 Ithaca St,"Colorado Springs, CO 80911, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-034462,https://www.auction.com/details/104-ithaca-st-colorado-springs-co-1718604,Auction.com,"Janeway Law Firm, PC",
,3229 1/2 Bunting Avenue,"Clifton, CO 81520, Mesa County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,TS 10333888,https://www.auction.com/details/3229-1%2F2-bunting-ave-clifton-co-1722182,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,4336 River Line Grv,"Colorado Springs, CO 80911, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-034408,https://www.auction.com/details/4336-river-line-grv-colorado-springs-co-1717510,Auction.com,"Janeway Law Firm, PC",
,921 Desert Circle,"Fountain, CO 80817, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-033970,https://www.auction.com/details/921-desert-cir-fountain-co-1717633,Auction.com,"Janeway Law Firm, PC",
,6620 Brook Forest Dr,"Colorado Springs, CO 80911, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,22-027027,https://www.auction.com/details/6620-brook-forest-dr-colorado-springs-co-1774619,Auction.com,"Janeway Law Firm, PC",
,2627 Avalanche Heights,"Colorado Springs, CO 80918, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-033167,https://www.auction.com/details/2627-avalanche-hts-colorado-springs-co-1777888,Auction.com,"Janeway Law Firm, PC",
,2523 Ember Dr,"Colorado Springs, CO 80910, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,24-033061,https://www.auction.com/details/2523-ember-dr-colorado-springs-co-1777889,Auction.com,"Janeway Law Firm, PC",
,2870 Valencia Road,"Colorado Springs, CO 80917, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,TS 10380467,https://www.auction.com/details/2870-valencia-rd-colorado-springs-co-1778783,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,6047 Jorie Rd,"Colorado Springs, CO 80927, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,TS 10378016,https://www.auction.com/details/6047-jorie-rd-colorado-springs-co-1780758,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,7023 Lolo Dr,"Colorado Springs, CO 80911, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,25-034157,https://www.auction.com/details/7023-lolo-dr-colorado-springs-co-1782624,Auction.com,"Janeway Law Firm, PC",
,405 Mono Place,"Colorado Springs, CO 80910, El Paso County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,TS 10380483,https://www.auction.com/details/405-mono-pl-colorado-springs-co-1793368,Auction.com,"Barrett, Frappier and Weisserman",Borrowers/homeowners should call (626) 915-5714
,3601 Ellis Rd,"Rockford, IL 61101, Winnebago County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,2024-FC-00002...,https://www.auction.com/details/3601-ellis-rd-rockford-il-1742614,Auction.com,"RAS Crane, LLC",Borrowers/homeowners should call (561) 241-6901
,2003 Nebraska Rd,"Rockford, IL 61108, Winnebago County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,2024-FC-00001...,https://www.auction.com/details/2003-nebraska-rd-rockford-il-1752229,Auction.com,"RAS Crane, LLC",Borrowers/homeowners should call (561) 241-6901
,401 W McAllister St.,"Battle Creek, NE 68715, Madison County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,NE21011,https://www.auction.com/details/401-w-mcallister-st-battle-creek-ne-1770888,Auction.com,"Halliday, Watkins and Mann, P.C.",Borrowers/homeowners should call (801) 355-2886
,28 Dogwood Avenue,"Farmingville, NY 11738, Suffolk County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,19-081882,https://www.auction.com/details/28-dogwood-ave-farmingville-ny-1763965,Auction.com,Logs Legal Group LLP,Borrowers/homeowners should call (585) 247-9000
,121 South Eleventh Avenue,"Mount Vernon, NY 10550, Westchester County","Wednesday, Jul 30, 2025
Add to calendar",10:00 am,,,15-001926,https://www.auction.com/details/121-s-11th-ave-mount-vernon-ny-1783542,Auction.com,"Gross Polowy, LLC",
,24 Wyandotte Dr,"Cherokee Village, AR 72529, Sharp County","Wednesday, Jul 30, 2025
Add to calendar",1:30 pm,,,109295-1,https://www.auction.com/details/24-wyandotte-dr-cherokee-village-ar-1768162,Auction.com,"Mickel Law Firm, P.A.",
,1962 Cyrus Cove Dr,"Hoover, AL 35244, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,1263-3912A,https://www.auction.com/details/1962-cyrus-cove-dr-hoover-al-1758360,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (404) 994-7400
,6504 Middle Warren Road,"Pine Bluff, AR 71603, Jefferson County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,16-000008-850,https://www.auction.com/details/6504-middle-warren-rd-pine-bluff-ar-1745714,Auction.com,"Mackie Wolf Zientz and Mann, P. C.",Borrowers/homeowners should call (501) 218-8111
,3997 Pasadena Drive,"San Mateo, CA 94403, San Mateo County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,RUN 2 - CA-24...,https://www.auction.com/details/3997-pasadena-dr-san-mateo-ca-1752288,Auction.com,Quality Loan Service Corporation,Borrowers/homeowners should call (866) 645-7711
,805 Old Schaghticoke Road,"Schaghticoke, NY 12154, Rensselaer County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,16-005687,https://www.auction.com/details/805-old-schaghticoke-rd-schaghticoke-ny-1765807,Auction.com,"Gross Polowy, LLC",
,1127 Van Buren Street,"Eugene, OR 97402, Lane County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,24-67610,https://www.auction.com/details/1127-van-buren-st-eugene-or-1710216,Auction.com,"ZBS Law, LLP",Borrowers/homeowners should call (503) 946-6558
,5024 Alder Dr,"Florence, OR 97439, Lane County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,130251-OR,https://www.auction.com/details/5024-alder-dr-florence-or-1710702,Auction.com,Aldridge Pite LLP,Borrowers/homeowners should call (878) 750-7600
,4359 Mount Vernon Road,"Springfield, OR 97478, Lane County","Wednesday, Jul 30, 2025
Add to calendar",1:00 pm,,,OR09000036-24,https://www.auction.com/details/4359-mt-vernon-rd-springfield-or-1776498,Auction.com,Trustee Corps,Borrowers/homeowners should call (949) 252-8300
,9323 Stephen Richards Memorial Dr,"Juneau, AK 99801, Juneau County","Wednesday, Jul 23, 2025
Add to calendar",TBD,,,AK240085,https://www.auction.com/details/9323-stephen-richards-memorial-dr-juneau-ak-1778441,Auction.com,"The Sayer Law Group, P.C.",Borrowers/homeowners should call (319) 234-2530
,908 Applewood Court,"Fort Lupton, CO 80621, Weld County","Wednesday, Jul 23, 2025
Add to calendar",TBD,,,24-033335,https://www.auction.com/details/908-applewood-ct-fort-lupton-co-1711663,Auction.com,"Janeway Law Firm, PC",
,7925 Trotter Lane,"Lone Tree, CO 80124, Douglas County","Wednesday, Jul 23, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/7925-trotter-ln-lone-tree-co-1712979,Auction.com,"McCarthy & Holthus, LLP",
,35824 Pleasant Hill Ave,"Galeton, CO 80622, Weld County","Wednesday, Jul 23, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/35824-pleasant-hill-ave-galeton-co-1714011,Auction.com,"Halliday, Watkins and Mann, P.C.",
,1281 W 71st Pl,"Denver, CO 80221, Adams County","Wednesday, Jul 23, 2025
Add to calendar",TBD,,,,https://www.auction.com/details/1281-w-71st-pl-denver-co-1716833,Auction.com,"Halliday, Watkins and Mann, P.C.",
